what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868292445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868303539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868310543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868320779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868321762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868326690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868331356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868363048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868366580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868367828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868369346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868374662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868383052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868422581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868422864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868424337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868430104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400868432028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400868437795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400868439221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868449757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868474794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868477860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868483942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400868488996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868490270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400868499771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868500951
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400868502440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400868505181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400868506194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868506984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868519034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868523099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868524409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868530809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868535359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868543125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868554506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868554858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868562072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868568246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868571287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868575221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868576403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868579042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868580011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868586696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868588487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868592730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868595806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868600221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868601430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400868608034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868612207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868613497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868618296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868623988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868625955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868633474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868635944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868641589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868649523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868653483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868663008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868664706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868685761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868723431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868726510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1400868736944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868742750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868749789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868750474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868751438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868752436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868754358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868757246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868770538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868771703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868773065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868776230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400868785734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868792541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868798308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400868799353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868844238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868845356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400868860678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869053464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869065219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869066231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869072932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869075822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869076882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869084394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869105818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869106761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869121175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869121519
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869135487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869137706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869138842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869140139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869162499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869186977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869248439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869248750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869331795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869332129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869344619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869344895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869351343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869374569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869424481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869424752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1400869449309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869472603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869473473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869490354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869490659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869505397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869505686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869521961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869531917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869555539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869555822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869567187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869579288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869579416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869589364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869594297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869601263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869608292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869608408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869610161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869623399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869630740
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1400869717207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869721926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869729029
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869729249
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869729388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869731958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869742039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869749523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869752354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1400869752820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869753845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869754461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869755178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869759745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869761550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869768894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869769913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869772521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869776854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869777975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869785158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869786372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869789095
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869799013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869801163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869802131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869803427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869804596
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869807810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869810260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869811221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869812712
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869814306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869816196
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869817400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869819859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869824668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869828608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869831032
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869834335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869853408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869855149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869857823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869865923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869868728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400869868905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869872087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869876942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869878288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869879861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869882373
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1400869886468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869888493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869890060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869890825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869891922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869894854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869900392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400869926137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869927493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869936131
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400869937317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869944629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869973666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869976846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400869988696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400869992622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400870008706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400870012589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400870019921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400870042345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400870042613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400870064535
